Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  
3800                     5.11609481592973         11411400                 5932.759397637322        150                      9018.098498529547        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       11401000                 0.017752616              0.01                     728192                   4.1136785                5e-05                    3640960                  0.33642504               18.687578                
3850                     5.183405001891984        11561550                 6023.35317150925         150                      8844.973180044984        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       11551000                 0.018489994              0.01                     737792                   4.1139436                5e-05                    3688960                  -0.007841817             19.018984                
3900                     5.25046764837371         11711700                 5968.477166208143        150                      9012.023082277728        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       11701000                 0.02104467               0.01                     747392                   4.0178275                5e-05                    3736960                  -0.37755606              20.438587                
3950                     5.317464714845022        11861850                 5980.317710472208        150                      9044.873923037629        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       11851000                 0.024357311              0.01                     756992                   4.253539                 5e-05                    3784960                  -0.8670078               22.439863                
4000                     5.384657935698827        12012000                 5978.673581197468        150                      8975.596010197753        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       12001000                 0.023907483              0.01                     766592                   3.874568                 5e-05                    3832960                  0.42421138               21.645607                
4050                     5.4520456845230525       12162150                 5966.823170374078        150                      8871.390690022663        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       12151000                 0.013938513              0.01                     776192                   4.0689273                5e-05                    3880960                  -0.114127144             16.610167                
4100                     5.5195012485318715       12312300                 6087.960557475927        150                      8878.497927272587        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       12301000                 0.02051521               0.01                     785792                   4.0067425                5e-05                    3928960                  0.630569                 19.564756                
4150                     5.586892732315594        12462450                 6089.633611151097        150                      8825.276727595017        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       12451000                 0.01972502               0.01                     795392                   4.013177                 5e-05                    3976960                  0.27245355               19.403341                
4200                     5.654342591232724        12612600                 6017.663115637544        150                      8949.523587899288        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       12601000                 0.020930015              0.01                     804992                   4.0521665                5e-05                    4024960                  0.61428404               20.545523                
4250                     5.721720011035601        12762750                 6006.702075029675        150                      8925.537526390857        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       12751000                 0.020562304              0.01                     814592                   4.055475                 5e-05                    4072960                  0.2701721                20.33619                 
4300                     5.789213264518314        12912900                 5860.574547287323        150                      8924.176676918134        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       12901000                 0.023333577              0.01                     824192                   4.0363317                5e-05                    4120960                  0.27772152               21.466305                
4350                     5.856825416154332        13063050                 6072.766108228144        150                      8684.633434125904        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       13051000                 0.019113204              0.01                     833792                   4.0595913                5e-05                    4168960                  -0.029642968             19.780563                
4400                     5.92428860505422         13213200                 6111.257078203371        150                      8897.322640441798        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       13201000                 0.015639989              0.01                     843392                   4.1120687                5e-05                    4216960                  0.88825285               17.575132                
4450                     5.9916777867078785       13363350                 6123.919891891042        150                      8658.905019432987        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       13351000                 0.01964703               0.01                     852992                   4.025022                 5e-05                    4264960                  0.13992439               19.958836                
4500                     6.059190280371242        13513500                 6099.643822695476        150                      9084.366717156234        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       13501000                 0.01706246               0.01                     862592                   4.0940084                5e-05                    4312960                  0.24019577               18.362652                
4550                     6.126583871907658        13663650                 6163.046588406995        150                      8897.500399160344        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       13651000                 0.019504877              0.01                     872192                   4.0752435                5e-05                    4360960                  -0.31067324              20.181368                
4600                     6.194036284618908        13813800                 6142.9826115267915       150                      8955.06426447992         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       13801000                 0.020621305              0.01                     881792                   4.0439405                5e-05                    4408960                  -0.32703483              20.48107                 
4650                     6.261515642868148        13963950                 6200.246018152555        150                      8822.127825847068        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       13951000                 0.018206201              0.01                     891392                   4.0593934                5e-05                    4456960                  -0.6924265               18.902205                
4700                     6.328930506640011        14114100                 6086.177331036865        150                      8974.12936849549         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       14101000                 0.017010974              0.01                     900992                   4.0659146                5e-05                    4504960                  0.5823017                18.229746                
4750                     6.396381509900093        14264250                 6092.486675583075        150                      9077.077472353736        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       14251000                 0.019529274              0.01                     910592                   4.117704                 5e-05                    4552960                  -0.280791                19.423403                
4800                     6.46382603360547         14414400                 6212.9174832035105       150                      9236.579485324057        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       14401000                 0.021887673              0.01                     920192                   4.063217                 5e-05                    4600960                  -0.45915666              20.443092                
4850                     6.531190942790773        14564550                 6293.428769083424        150                      9036.765540608005        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       14551000                 0.021600591              0.01                     929792                   4.006896                 5e-05                    4648960                  -0.6736496               21.397507                
4900                     6.59861022942596         14714700                 6093.0025346354          150                      9167.483837033351        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       14701000                 0.018457958              0.01                     939392                   3.9870975                5e-05                    4696960                  -0.1571046               19.3838                  
4950                     6.665994503233168        14864850                 6113.928632238144        150                      9183.180831886704        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       14851000                 0.018958988              0.01                     948992                   4.0250926                5e-05                    4744960                  0.9932033                19.719196                
5000                     6.733330587678485        15015000                 6198.858177372844        150                      8815.209054199831        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       15001000                 0.020585561              0.01                     958592                   3.981429                 5e-05                    4792960                  -0.04758163              20.431162                
5050                     6.800904026031494        15165150                 6150.68268160051         150                      8946.226728254567        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       15151000                 0.020870723              0.01                     968192                   4.0393734                5e-05                    4840960                  0.84376276               20.14288                 
5100                     6.868472589320606        15315300                 6248.526807231788        150                      8550.072156248558        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       15301000                 0.020136401              0.01                     977792                   3.9827268                5e-05                    4888960                  -0.18589443              19.942265                
5150                     6.935563432110681        15465450                 6253.855542575845        150                      8993.957324633599        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       15451000                 0.019617358              0.01                     987392                   4.0444307                5e-05                    4936960                  0.23412271               19.725964                
5200                     7.0024856789244545       15615600                 6186.8495838073795       150                      8970.256996801765        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       15601000                 0.025261464              0.01                     996992                   3.8643534                5e-05                    4984960                  -0.4606037               22.238047                
5250                     7.069641263286273        15765750                 6210.224629179409        150                      9126.071736951588        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       15751000                 0.019470628              0.01                     1006592                  3.98118                  5e-05                    5032960                  0.29206544               19.246408                
5300                     7.1368049926228          15915900                 6209.135152825593        150                      8825.70463149258         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       15901000                 0.019829113              0.01                     1016192                  3.9979208                5e-05                    5080960                  0.33062828               20.025932                
5350                     7.203762078285218        16066050                 6122.85130785992         150                      9022.672329470442        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       16051000                 0.021410322              0.01                     1025792                  4.027842                 5e-05                    5128960                  -0.048805565             20.693651                
5400                     7.270749266412523        16216200                 6090.549866407204        150                      9059.567464417598        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       16201000                 0.025967583              0.01                     1035392                  3.9815602                5e-05                    5176960                  0.22626162               22.361813                
